Player,Group_ID,Role,Color_Index
Quinten Post,18,Member,17
Will Richard,18,Member,17
Giannis Antetokounmpo,19,Core,18
Khris Middleton,19,Core,18
Pat Connaughton,19,Core,18
Brook Lopez,19,Core,18
Bobby Portis,19,Core,18
Thanasis Antetokounmpo,19,Member,18
Donte DiVincenzo,19,Member,18
A.J. Green,19,Member,18
Ryan Rollins,19,Member,18
Andre Jackson Jr.,19,Member,18
Pete Nance,19,Member,18
Chris Livingston,19,Member,18
Mark Sears,19,Member,18
