Player,Group_ID,Role,Color_Index
Moussa Diabaté,8,Member,7
Brandon Miller,8,Member,7
Kai Jones,8,Member,7
Nick Smith Jr.,8,Member,7
Bryce McGowens,8,Member,7
KJ Simpson,8,Member,7
Tidjane Salaün,8,Member,7
Isaiah Wong,8,Member,7
Marcus Garrett,8,Member,7
Jaylen Sims,8,Member,7
Damion Baugh,8,Member,7
Kon Knueppel,8,Member,7
Ryan Kalkbrenner,8,Member,7
Sion James,8,Member,7
Liam McNeeley,8,Member,7
Jarred Vanderbilt,9,Core,8
Anthony Davis,9,Core,8
D'Angelo Russell,9,Core,8
LeBron James,9,Core,8
Malik Beasley,9,Core,8
Rui Hachimura,9,Member,8
Bradley Beal,9,Member,8
Austin Reaves,9,Member,8
Jaxson Hayes,9,Member,8
Max Christie,9,Member,8
Thomas Bryant,9,Member,8
Cam Reddish,9,Member,8
Jordan Goodwin,9,Member,8
Maxwell Lewis,9,Member,8
Jalen Hood-Schifino,9,Member,8
Trey Jemison,9,Member,8
Christian Koloko,9,Member,8
Dalton Knecht,9,Member,8
Bronny James,9,Member,8
Colin Castleton,9,Member,8
Armel Traoré,9,Member,8
Quincy Olivari,9,Member,8
Adou Thiero,9,Member,8
Chris Mañon,9,Member,8
Dwight Powell,10,Core,9
Maxi Kleber,10,Core,9
Luka Dončić,10,Core,9
Dorian Finney-Smith,10,Core,9
Tim Hardaway Jr.,10,Core,9
Kyrie Irving,10,Member,9
Markieff Morris,10,Member,9
Spencer Dinwiddie,10,Member,9
Seth Curry,10,Member,9
Kristaps Porziņģis,10,Member,9
Josh Green,10,Member,9
Jaden Hardy,10,Member,9
Taurean Prince,10,Member,9
Brandon Williams,10,Member,9
Dereck Lively II,10,Member,9
Moses Brown,10,Member,9
Olivier-Maxence Prosper,10,Member,9
A.J. Lawson,10,Member,9
Jazian Gortman,10,Member,9
Moussa Cisse,10,Member,9
Miles Kelly,10,Member,9
Cooper Flagg,10,Member,9
Ryan Nembhard,10,Member,9
Shai Gilgeous-Alexander,11,Core,10
Luguentz Dort,11,Core,10
Kenrich Williams,11,Core,10
Aaron Wiggins,11,Core,10
Isaiah Joe,11,Core,10
Ousmane Dieng,11,Member,10
Jalen Williams,11,Member,10
Jaylin Williams,11,Member,10
Josh Giddey,11,Member,10
Cason Wallace,11,Member,10
Chet Holmgren,11,Member,10
Lindy Waters III,11,Member,10
Isaiah Hartenstein,11,Member,10
Branden Carlson,11,Member,10
Ajay Mitchell,11,Member,10
Adam Flagler,11,Member,10
Alex Reese,11,Member,10
Alex Ducas,11,Member,10
Dillon Jones,11,Member,10
Malevy Leons,11,Member,10
Chris Youngblood,11,Member,10
Brooks Barnhizer,11,Member,10
De'Aaron Fox,12,Core,11
Harrison Barnes,12,Core,11
Domantas Sabonis,12,Core,11
Alex Len,12,Core,11
Doug McDermott,12,Core,11
Kevin Huerter,12,Member,11
Trey Lyles,12,Member,11
Malik Monk,12,Member,11
Keegan Murray,12,Member,11
Keon Ellis,12,Member,11
Terence Davis,12,Member,11
Davion Mitchell,12,Member,11
Kessler Edwards,12,Member,11
Skal Labissière,12,Member,11
Colby Jones,12,Member,11
Mason Jones,12,Member,11
Isaac Jones,12,Member,11
Devin Carter,12,Member,11
Isaiah Crawford,12,Member,11
Maxime Raynaud,12,Member,11
Dylan Cardwell,12,Member,11
Nique Clifford,12,Member,11
Rudy Gobert,13,Core,12
Joe Ingles,13,Core,12
Naz Reid,13,Core,12
Mike Conley,13,Core,12
Karl-Anthony Towns,13,Core,12
Anthony Edwards,13,Member,12
Jaden McDaniels,13,Member,12
Jordan McLaughlin,13,Member,12
Dante Exum,13,Member,12
Nickeil Alexander-Walker,13,Member,12
Josh Okogie,13,Member,12
Jaylen Nowell,13,Member,12
Luka Garza,13,Member,12
Josh Minott,13,Member,12
Leonard Miller,13,Member,12
Daishen Nix,13,Member,12
Rob Dillingham,13,Member,12
Terrence Shannon Jr.,13,Member,12
Jaylen Clark,13,Member,12
Matt Ryan,13,Member,12
Jesse Edwards,13,Member,12
Joan Beringer,13,Member,12
Marvin Bagley III,14,Core,13
Kyle Kuzma,14,Core,13
Anthony Gill,14,Core,13
Richaun Holmes,14,Core,13
Daniel Gafford,14,Core,13
Corey Kispert,14,Member,13
Deni Avdija,14,Member,13
Justin Champagnie,14,Member,13
Bilal Coulibaly,14,Member,13
Tristan Vukcevic,14,Member,13
Johnny Davis,14,Member,13
Patrick Baldwin Jr.,14,Member,13
Jared Butler,14,Member,13
AJ Johnson,14,Member,13
Jamaree Bouyea,14,Member,13
Kyshawn George,14,Member,13
Bub Carrington,14,Member,13
Alex Sarr,14,Member,13
Sharife Cooper,14,Member,13
Jamir Watkins,14,Member,13
Will Riley,14,Member,13
Tre Johnson,14,Member,13
Keldon Johnson,15,Core,14
Devin Vassell,15,Core,14
Tre Jones,15,Core,14
Zach Collins,15,Core,14
Julian Champagnie,15,Core,14
Jeremy Sochan,15,Member,14
Dejounte Murray,15,Member,14
Sandro Mamukelashvili,15,Member,14
Blake Wesley,15,Member,14
Charles Bassey,15,Member,14
Malaki Branham,15,Member,14
Victor Wembanyama,15,Member,14
Sidy Cissoko,15,Member,14
David Duke Jr.,15,Member,14
Dominick Barlow,15,Member,14
Stephon Castle,15,Member,14
Riley Minix,15,Member,14
Harrison Ingram,15,Member,14
Dylan Harper,15,Member,14
Carter Bryant,15,Member,14
David Jones García,15,Member,14
Nikola Jokić,16,Core,15
Jamal Murray,16,Core,15
Aaron Gordon,16,Core,15
Zeke Nnaji,16,Core,15
Michael Porter Jr.,16,Core,15
Monte Morris,16,Member,15
DeAndre Jordan,16,Member,15
Vlatko Čančar,16,Member,15
Christian Braun,16,Member,15
Peyton Watson,16,Member,15
Bol Bol,16,Member,15
Jalen Pickett,16,Member,15
Hunter Tyson,16,Member,15
Julian Strawther,16,Member,15
PJ Dozier,16,Member,15
Spencer Jones,16,Member,15
Trey Alexander,16,Member,15
PJ Hall,16,Member,15
DaRon Holmes,16,Member,15
Curtis Jones,16,Member,15
Nikola Vučević,17,Core,16
Zach LaVine,17,Core,16
Coby White,17,Core,16
Patrick Williams,17,Core,16
Ayo Dosunmu,17,Core,16
Torrey Craig,17,Member,16
Alex Caruso,17,Member,16
Javonte Green,17,Member,16
Dalen Terry,17,Member,16
Jevon Carter,17,Member,16
Lonzo Ball,17,Member,16
Julian Phillips,17,Member,16
Terry Taylor,17,Member,16
Emanuel Miller,17,Member,16
Matas Buzelis,17,Member,16
Adama Sanogo,17,Member,16
E.J. Liddell,17,Member,16
Jahmir Young,17,Member,16
Lachlan Olbrich,17,Member,16
Noa Essengue,17,Member,16
CJ McCollum,18,Core,17
Damian Lillard,18,Core,17
Jusuf Nurkić,18,Core,17
Brandon Ingram,18,Core,17
Herbert Jones,18,Core,17
Jose Alvarado,18,Member,17
Trey Murphy III,18,Member,17
Zion Williamson,18,Member,17
Naji Marshall,18,Member,17
Jordan Hawkins,18,Member,17
Jeremiah Robinson-Earl,18,Member,17
Yves Missi,18,Member,17
Karlo Matković,18,Member,17
Kylor Kelley,18,Member,17
Antonio Reeves,18,Member,17
Keion Brooks Jr.,18,Member,17
Micah Peavy,18,Member,17
Derik Queen,18,Member,17
Jeremiah Fears,18,Member,17
Hunter Dickinson,18,Member,17
Gary Harris,19,Core,18
Wendell Carter Jr.,19,Core,18
Cole Anthony,19,Core,18
Moritz Wagner,19,Core,18
Goga Bitadze,19,Core,18
Franz Wagner,19,Member,18
Jalen Suggs,19,Member,18
Jonathan Isaac,19,Member,18
Markelle Fultz,19,Member,18
Paolo Banchero,19,Member,18
Chuma Okeke,19,Member,18
Mo Bamba,19,Member,18
Caleb Houstan,19,Member,18
Jett Howard,19,Member,18
Anthony Black,19,Member,18
Trevelin Queen,19,Member,18
Tristan Da Silva,19,Member,18
Jase Richardson,19,Member,18
Noah Penda,19,Member,18
